radioName,agreement_id,agreement_title,agreement_text_url,system_validity_from,system_valid_to,system_impacted_agreements_string
validation,116,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA'"
validation,117,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,118,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,119,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/07/01,,"'Low Budget Theatrical Agreement (LBA)', 'Moderate Low Budget Project Agreement (MPA)', 'Ultra Low Budget Project Agreement (UPA)', 'Short Project Agreement (SPA)', 'Student Film Agreement', 'Micro-Budget Project Agreement'"
validation,120,2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,2020/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,121,Short Project Agreement (SPA),https://www.sagaftra.org/sites/default/files/Short%20Project%20Agreement%20%28SPA%29%20Rev.%202.21.23%20SAMPLE.pdf,2022/07/01,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,122,Student Film Agreement,https://www.sagaftra.org/sites/default/files/studentfilmagreement_1_11_0_0.pdf,XXXX/XX/XX,,'2014 SAG-AFTRA Basic Agreement'
validation,123,Micro-Budget Project Agreement,https://www.sagaftra.org/sites/default/files/2020_Micro-Budget_Project_%20AgreementWatermark.pdf,2020/12/XX,,"'Short Project Agreement (SPA)', 'Ultra Low Budget Project Agreement (UPA)', 'Student Film Agreement'"
validation,124,2017 New Media Agreement for Dramatic Programs (Deferrable),https://www.sagaftra.org/sites/default/files/2017_new_media_agreement_for_dramatic_programs_sample.pdf,2017/XX/XX,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,125,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,126,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 SAG-AFTRA MOA 7-22-20'"
validation,127,Moderate Low Budget Project Agreement (MPA),https://www.sagaftra.org/sites/default/files/Moderate%20Low%20Budget%20Project%20Agreement%20%28MPA%29%20Rev.%202.21.23%20SAMPLE.pdf,2023/03/28,,'2014 SAG-AFTRA Basic Agreement'
validation,128,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,129,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,130,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,131,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/XX/XX,,
validation,132,2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,2020/09/21,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 SAG-AFTRA MOA 7-22-20', 'JPC & SAG-AFTRA Covid Modifications'"
validation,133,Ultra Low Budget Project Agreement (UPA),https://www.sagaftra.org/sites/default/files/Ultra%20Low%20Budget%20Project%20Agreement%20%28UPA%29%20Rev.%203.21.23%20SAMPLE.pdf,2022/07/01,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,134,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,135,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,136,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,137,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/07/01,,
validation,138,2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,2020/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,139,Short Project Agreement (SPA),https://www.sagaftra.org/sites/default/files/Short%20Project%20Agreement%20%28SPA%29%20Rev.%202.21.23%20SAMPLE.pdf,2022/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,140,Micro-Budget Project Agreement,https://www.sagaftra.org/sites/default/files/2020_Micro-Budget_Project_%20AgreementWatermark.pdf,2020/12/XX,,"'2014 SAG-AFTRA Basic Agreement', '2020 Theatrical/Television MOA', '2014 SAG-AFTRA TV Agreement', 'Short Project Agreement (SPA)', 'Ultra Low Budget Project Agreement (UPA)', 'Student Film Agreement', '2017 New Media Agreement for Dramatic Programs (Deferrable)'"
